overallRank,villageRank,polygonId,village,district,regency,areaHa,priorityClass,priorityLabel,priorityScore,needScore,suitabilityScore,riskScore,confidence,decisionReason,methodVersion
99,7,MPR-EAE7DBB3A7,Teluk,Kuala Kampar,Pelalawan,0.26,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
100,8,MPR-0996D788A7,Teluk,Kuala Kampar,Pelalawan,0.25,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
101,9,MPR-ACBCEAF656,Teluk,Kuala Kampar,Pelalawan,0.25,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
102,10,MPR-91E353640C,Teluk,Kuala Kampar,Pelalawan,0.22,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
103,11,MPR-2934598E3B,Teluk,Kuala Kampar,Pelalawan,0.211,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
104,12,MPR-05819549A6,Teluk,Kuala Kampar,Pelalawan,0.206,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
105,13,MPR-A60414FEDC,Teluk,Kuala Kampar,Pelalawan,0.203,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
106,14,MPR-91CD931FAC,Teluk,Kuala Kampar,Pelalawan,0.17,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
107,15,MPR-FEB524C078,Teluk,Kuala Kampar,Pelalawan,0.17,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
108,16,MPR-C950913336,Teluk,Kuala Kampar,Pelalawan,0.14,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
109,17,MPR-3329132FAD,Teluk,Kuala Kampar,Pelalawan,0.136,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
